Date, Time, Temperature, Humidity, Pressure, Gyro_x, Gyro_y, Gyro_z 
02/22/17, 23:49:55, 21.0, 40.4, 1012.7, 0.8054594993591309, 0.12286815047264099, 0.5756949186325073
02/22/17, 23:49:59, 20.6, 39.3, 1012.7, 1.6040984392166138, 1.2558547258377075, 0.21986587345600128
02/22/17, 23:50:02, 20.8, 38.4, 1012.7, 0.060747403651475906, 0.02238081395626068, 0.015928100794553757
02/22/17, 23:50:05, 20.9, 37.8, 1012.7, 0.16466186940670013, 0.08835425972938538, 0.12396004796028137
02/22/17, 23:50:09, 20.9, 37.6, 1012.8, 0.0008826125413179398, 0.0016113948076963425, 0.0021836310625076294
02/22/17, 23:50:12, 21.6, 37.7, 1012.8, 0.0012343162670731544, 0.0005177818238735199, 4.48375940322876e-05
02/22/17, 23:50:16, 20.6, 37.3, 1012.8, 0.0003126738592982292, 0.001893315464258194, 0.00184587761759758
02/22/17, 23:50:19, 21.2, 37.3, 1012.8, 0.0014943769201636314, 0.0014417972415685654, 0.003316350281238556
02/22/17, 23:50:22, 20.7, 36.6, 1012.8, 3.223493695259094e-05, 0.0003842320293188095, 0.000557921826839447
02/22/17, 23:50:26, 20.7, 36.8, 1012.7, 0.0009325910359621048, 0.0014240220189094543, 0.00144943967461586
02/22/17, 23:50:29, 21.6, 37.8, 1012.7, 0.0005845790728926659, 0.000101407989859581, 0.0020256787538528442
02/22/17, 23:50:32, 21.0, 36.3, 1012.7, 0.0015273410826921463, 0.0020023901015520096, 0.0031134523451328278
02/22/17, 23:50:36, 20.0, 36.1, 1012.7, 0.0006007738411426544, 0.0016684364527463913, 0.0011430643498897552
02/22/17, 23:50:39, 19.3, 35.9, 1012.7, 0.0009108195081353188, 0.0013400986790657043, 0.0006779395043849945
02/22/17, 23:50:42, 18.4, 35.8, 1012.7, 0.0008955113589763641, 0.0007169768214225769, 0.0014355480670928955
02/22/17, 23:50:45, 17.9, 35.9, 1012.7, 0.000880461186170578, 0.0007965713739395142, 0.0005105249583721161
02/22/17, 23:50:49, 17.4, 35.2, 1012.7, 0.001165962778031826, 0.0016192104667425156, 0.0016001500189304352
02/22/17, 23:50:52, 17.5, 35.8, 1012.7, 0.0012560272589325905, 0.0012916997075080872, 0.0012729577720165253
02/22/17, 23:50:56, 17.5, 35.0, 1012.7, 0.001234917901456356, 0.0006693918257951736, 0.0005502328276634216
02/22/17, 23:50:59, 18.5, 35.2, 1012.7, 0.00148853100836277, 0.0003578420728445053, 0.0005409866571426392
02/22/17, 23:51:02, 18.8, 34.8, 1012.7, 0.0002623163163661957, 0.0021536238491535187, 0.0015702024102210999
02/22/17, 23:51:06, 19.7, 34.7, 1012.7, 0.0017594043165445328, 0.0021174289286136627, 4.231557250022888e-05
02/22/17, 23:51:09, 20.7, 34.5, 1012.7, 7.19614326953888e-05, 0.0026824399828910828, 0.0006422027945518494
02/22/17, 23:51:12, 19.6, 34.6, 1012.7, 0.00037105195224285126, 0.0032379552721977234, 0.0006314106285572052
02/22/17, 23:51:15, 19.7, 34.7, 1012.7, 0.000536082312464714, 0.002582937479019165, 0.001221396028995514
02/22/17, 23:51:18, 19.8, 34.3, 1012.7, 0.001875322312116623, 0.003140125423669815, 0.00030063092708587646
02/22/17, 23:51:22, 19.9, 34.6, 1012.7, 0.0002582911401987076, 0.0024867504835128784, 0.0009056180715560913
02/22/17, 23:51:25, 19.8, 34.1, 1012.7, 0.0009472472593188286, 0.003946451470255852, 0.0005900971591472626
02/22/17, 23:51:28, 20.2, 34.2, 1012.7, 0.0002698702737689018, 0.0014777295291423798, 0.0006210170686244965
